0,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0.5 1 0.04 0.6 1.0 0.2 0.18571428571428572 1 0.6 0.35 0.75 0.3333333333333333 0.5 0.5 0.3333333333333333 0.8 0.4
1,1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0.5 1 0.04 0.6 1.0 0.2 0.18571428571428572 1 0.6 0.35 0.5 0.3333333333333333 0.6666666666666666 0.75 0.3333333333333333 0.6 0.4
0,0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0.34 0.4 0.75 0.08571428571428572 0.08571428571428572 0 0.2 0.15 0.25 0.3333333333333333 0.5 0.5 0.3333333333333333 0.2 0.2
0,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0.34 0.4 0.75 0.08571428571428572 0.08571428571428572 0 0.2 0.15 0.25 0.3333333333333333 0.5 0.75 0.3333333333333333 0.2 0.2
1,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0.34 0.4 0.75 0.08571428571428572 0.08571428571428572 0 0.2 0.15 0.25 0.3333333333333333 0.5 0.5 0.3333333333333333 0.2 0.4
1,1 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.5 1 0.14 0.5 0.5 0.6714285714285714 0.6571428571428571 1 0.6 0.25 0.5 0.6666666666666666 0.6666666666666666 0.75 0.6666666666666666 0.4 0.8
0,0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 1 0.06 0.5 0.25 0.21428571428571427 0.21428571428571427 0 0.6 0.4 0.5 0.3333333333333333 0.6666666666666666 0.75 0.3333333333333333 0.6 0.8
1,1 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 1 0.06 0.5 0.25 0.21428571428571427 0.21428571428571427 0 0.6 0.4 0.5 0.3333333333333333 0.6666666666666666 0.75 0.3333333333333333 0.6 0.6
1,1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.25 1 0.12 0.4 0.5 0.1 0.1 0 0.8 0.3 0.75 0.3333333333333333 0.3333333333333333 0.75 0.3333333333333333 0.8 0.4
0,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.25 0 0.34 0.4 0.5 0.18571428571428572 0.18571428571428572 0 0.2 0.15 0.5 0.6666666666666666 0.6666666666666666 0.75 0.6666666666666666 0.4 0.8
1,1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.25 0 0.34 0.4 0.5 0.18571428571428572 0.18571428571428572 0 0.2 0.15 0.25 0.6666666666666666 0.3333333333333333 0.75 0.3333333333333333 0.2 0.4
1,1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0.14 0.7 0.5 0.7428571428571429 0.7428571428571429 0 0.8 0.6 0.5 0.3333333333333333 0.8333333333333334 0.75 0.6666666666666666 0.2 0.6
0,0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0 0.34 0.5 1.0 0.17142857142857143 0.17142857142857143 0 0.2 0.05 0.5 0.6666666666666666 0.5 0.75 0.6666666666666666 0.4 0.2
